+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
306	7.391	7.7
307	7.396	4.99
308	7.4	2.49
309	7.405	0.74
310	7.409	0.2
311	7.414	0.51
312	7.418	0.85
313	7.423	0.69
314	7.427	-0.3
315	7.432	-2.5
316	7.436	-6.19
317	7.441	-10.94
318	7.445	-15.8
319	7.45	-20.33
320	7.454	-24.62
321	7.459	-28.5
322	7.463	-31.97
323	7.468	-34.72
324	7.472	-36
325	7.477	-35.8
326	7.482	-34.89
327	7.486	-32.9
328	7.491	-28.48
329	7.495	-21.72
330	7.5	-14.36
331	7.504	-8.2
332	7.509	-4.04
333	7.513	-2.2
334	7.518	-4.17
335	7.522	-12.06
336	7.527	-24.74
337	7.531	-37.67
338	7.536	-46.27
339	7.54	-49.65
340	7.545	-49.58
341	7.549	-47.81
342	7.554	-46.12
343	7.559	-45.48
344	7.563	-45.56
345	7.568	-46.56
346	7.572	-48.89
347	7.577	-50.9
348	7.581	-50.86
349	7.586	-53.61
350	7.59	-77.78
351	7.595	-165.06
352	7.599	-389.62
353	7.604	-855.08
354	7.608	-1660.98
355	7.613	-2833.94
356	7.617	-4282.53
357	7.622	-5827.84
358	7.626	-7270.78
359	7.631	-8453.2
360	7.636	-9334.28
361	7.64	-10029.16
362	7.645	-10691.92
363	7.649	-11343.37
364	7.654	-11874.88
365	7.658	-12133.26
366	7.663	-11906.36
367	7.667	-10908.6
368	7.672	-8875.58
369	7.676	-5548.5
370	7.681	-812.72
371	7.685	5045.1
372	7.69	11381.6
373	7.694	16999.2
374	7.699	20533.24
375	7.703	21174.18
376	7.708	18860.83
377	7.712	14182.56
378	7.717	8148.31
379	7.722	1985.96
380	7.726	-3204.05
381	7.731	-6669.83
382	7.735	-8217.39
383	7.74	-8049.11
384	7.744	-6717.22
385	7.749	-4945.06
386	7.753	-3301.83
387	7.758	-2049
388	7.762	-1203.04
389	7.767	-673.74
390	7.771	-360.62
391	7.776	-191.17
392	7.78	-124.68
393	7.785	-134.23
394	7.789	-193.25
395	7.794	-270.44
396	7.799	-335.56
397	7.803	-370.92
398	7.808	-378.16
399	7.812	-357.56
400	7.817	-306.6
401	7.821	-234.32
402	7.826	-159.01
403	7.83	-100.17
404	7.835	-65.69
405	7.839	-49.34
406	7.844	-42.07
407	7.848	-37.57
408	7.853	-31.86
409	7.857	-26.3
410	7.862	-26.31
411	7.866	-31.59
412	7.871	-35.35
413	7.875	-33.97
414	7.88	-28.56
415	7.885	-21.33
416	7.889	-15.19
417	7.894	-12.44
418	7.898	-12.52
419	7.903	-12.42
420	7.907	-9.69
421	7.912	-5.62
422	7.916	-3.71
423	7.921	-4.39
424	7.925	-5.71
425	7.93	-6.4
426	7.934	-5.03
427	7.939	-2.26
428	7.943	-0.8
429	7.948	-0.75
430	7.952	-0.84
431	7.957	-0.98
432	7.962	-1.09
433	7.966	-1.36
434	7.971	-1.48
435	7.975	-0.24
436	7.98	0.8
437	7.984	-0.76
438	7.989	-3.43
439	7.993	-5.1
440	7.998	-5.97
441	8.002	-6.94
442	8.007	-8.46
443	8.011	-8.97
444	8.016	-7.46
445	8.02	-6.25
446	8.025	-7.37
447	8.029	-10.55
448	8.034	-14.63
449	8.039	-17.75
450	8.043	-18.24
451	8.048	-16.95
452	8.052	-16.15
453	8.057	-16.35
454	8.061	-16.59
455	8.066	-16.64
456	8.07	-17.1
457	8.075	-17.41
458	8.079	-16.54
459	8.084	-15.14
460	8.088	-15.2
461	8.093	-17.84
462	8.097	-22.69
463	8.102	-29.36
464	8.106	-36.53
465	8.111	-40.87
466	8.115	-40.91
467	8.12	-38.49
468	8.125	-35.55
469	8.129	-34.6
470	8.134	-38.1
471	8.138	-45.12
472	8.143	-53.66
473	8.147	-63.94
474	8.152	-75.81
475	8.156	-86.55
476	8.161	-91.84
477	8.165	-84.76
478	8.17	-53.24
479	8.174	12.65
480	8.179	109.24
481	8.183	223.78
482	8.188	339.49
483	8.192	438.39
484	8.197	508.26
485	8.202	552.47
486	8.206	588.29
487	8.211	625.84
488	8.215	663.78
489	8.22	693.15
490	8.224	688.85
491	8.229	617.72
492	8.233	468.12
493	8.238	267.56
494	8.242	64.71
495	8.247	-89.35
496	8.251	-166.81
497	8.256	-175.69
498	8.26	-142.68
499	8.265	-95.14
500	8.269	-50.65
501	8.274	-16.68
502	8.278	5.72
503	8.283	19.77
504	8.288	28.76
505	8.292	32.56
506	8.297	29.73
507	8.301	21.87
508	8.306	13.68
509	8.31	8.3
510	8.315	5.74
511	8.319	4.8
512	8.324	3.92
513	8.328	2.21
514	8.333	0.67
515	8.337	0.2
516	8.342	0.06
517	8.346	-1.3
518	8.351	-5.31
519	8.355	-13.53
520	8.36	-27.89
521	8.365	-50.29
522	8.369	-80.62
523	8.374	-114.73
524	8.378	-145.88
525	8.383	-169.1
526	8.387	-184.03
527	8.392	-192.9
528	8.396	-196.88
529	8.401	-196.6
530	8.405	-193.95
531	8.41	-191.74
532	8.414	-192.36
533	8.419	-196.04
534	8.423	-200.16
535	8.428	-201.4
536	8.432	-197.82
537	8.437	-186.83
538	8.442	-159.35
539	8.446	-94.98
540	8.451	29.88
541	8.455	223.2
542	8.46	471.11
543	8.464	725.92
544	8.469	921.34
545	8.473	1016.67
546	8.478	1012.32
547	8.482	938.32
548	8.487	829.08
549	8.491	716.81
550	8.496	628.79
551	8.5	588.56
552	8.505	612.3
553	8.509	706.35
554	8.514	864.13
555	8.518	1058.65
556	8.523	1235.02
557	8.528	1342.04
558	8.532	1359.66
559	8.537	1287.71
560	8.541	1150.38
561	8.546	992.47
562	8.55	861.94
563	8.555	791.13
564	8.559	788.98
565	8.564	854.11
566	8.568	988.25
567	8.573	1181.57
568	8.577	1382.75
569	8.582	1510.88
570	8.586	1501.79
571	8.591	1343.39
572	8.595	1078.52
573	8.6	785.3
574	8.605	535.09
575	8.609	375.84
576	8.614	313.99
577	8.618	318.48
578	8.623	345.8
579	8.627	354.71
580	8.632	320.68
581	8.636	246.16
582	8.641	151.11
583	8.645	54.11
584	8.65	-30.12
585	8.654	-87.49
586	8.659	-109.09
587	8.663	-102.16
588	8.668	-81.54
589	8.672	-59.16
590	8.677	-41.25
591	8.682	-28.77
592	8.686	-20.36
593	8.691	-13.81
594	8.695	-4.87
595	8.7	9.48
596	8.704	29.23
597	8.709	53.8
598	8.713	81.68
599	8.718	106.73
600	8.722	122.21
601	8.727	127.14
602	8.731	124.37
603	8.736	115.79
