#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
102	6.467	19.1615905761719
103	6.472	17.1040859222412
104	6.476	14.4054555892944
105	6.481	12.2055606842041
106	6.485	10.8374814987183
107	6.49	9.94509601593018
108	6.494	9.39085960388184
109	6.499	9.1929349899292
110	6.503	9.13629913330078
111	6.508	9.0666332244873
112	6.512	9.05362606048584
113	6.517	9.35496711730957
114	6.521	10.3722534179688
115	6.526	12.2761926651001
116	6.531	14.6138153076172
117	6.535	16.8049793243408
118	6.54	18.2711524963379
119	6.544	18.2975368499756
120	6.549	17.0047702789307
121	6.553	15.3712673187256
122	6.558	13.9763107299805
123	6.562	12.9388294219971
124	6.567	12.314920425415
125	6.571	11.9617357254028
126	6.576	11.6628837585449
127	6.58	11.5199127197266
128	6.585	11.8895807266235
129	6.589	13.259672164917
130	6.594	16.3222179412842
131	6.598	21.0073757171631
132	6.603	25.9035739898682
133	6.608	29.7144680023193
134	6.612	31.3961181640625
135	6.617	29.5102157592773
136	6.621	24.234884262085
137	6.626	18.1913452148438
138	6.63	13.6579132080078
139	6.635	10.9593677520752
140	6.639	9.50928688049316
141	6.644	8.81438541412354
142	6.648	8.5805721282959
143	6.653	8.46224403381348
144	6.657	8.2572546005249
145	6.662	8.17368316650391
146	6.666	8.42160797119141
147	6.671	8.89834594726563
148	6.675	9.5223217010498
149	6.68	10.264554977417
150	6.685	10.7738332748413
151	6.689	10.7348613739014
152	6.694	10.2378377914429
153	6.698	9.53768730163574
154	6.703	8.90975952148438
155	6.707	8.65169143676758
156	6.712	8.85101413726807
157	6.716	9.26852416992188
158	6.721	9.50891780853271
159	6.725	9.36583709716797
160	6.73	8.96620559692383
161	6.734	8.58712291717529
162	6.739	8.39448642730713
163	6.743	8.36923313140869
164	6.748	8.28879070281982
165	6.752	7.989182472229
166	6.757	7.65317344665527
167	6.761	7.61542892456055
168	6.766	7.9811429977417
169	6.771	8.76332187652588
170	6.775	10.1068782806396
171	6.78	12.1043014526367
172	6.784	14.6685905456543
173	6.789	17.5285015106201
174	6.793	20.3719100952148
175	6.798	23.2117977142334
176	6.802	26.0082035064697
177	6.807	28.003303527832
178	6.811	27.9333782196045
179	6.816	24.9396286010742
180	6.82	19.9059219360352
181	6.825	15.0151805877686
182	6.829	11.6277160644531
183	6.834	9.77029609680176
184	6.838	8.99792098999023
185	6.843	8.83053588867188
186	6.848	8.94543361663818
187	6.852	9.34192848205566
188	6.857	10.1199340820313
189	6.861	11.213303565979
190	6.866	12.5865879058838
191	6.87	13.920431137085
192	6.875	14.293643951416
193	6.879	13.4785852432251
194	6.884	12.4337768554688
195	6.888	11.6992511749268
196	6.893	10.8496074676514
197	6.897	9.67258071899414
198	6.902	8.63743877410889
199	6.906	8.30854892730713
200	6.911	8.54664993286133
201	6.915	8.61667251586914
202	6.92	8.24396133422852
203	6.924	7.9093976020813
204	6.929	7.94592428207397
205	6.934	8.15026950836182
206	6.938	8.26052474975586
207	6.943	8.3010835647583
208	6.947	8.31350040435791
209	6.952	8.19548892974854
210	6.956	7.93294239044189
211	6.961	7.74187231063843
212	6.965	7.79500961303711
213	6.97	7.90654277801514
